epoch,train_loss,train_acc,val_acc,val_auc
1,0.6862427890300751,0.52,0.645,0.645
2,0.6589555144309998,0.72925,0.898,0.898
3,0.6268151849508286,0.898,0.963,0.9630000000000001
4,0.588327668607235,0.944,0.978,0.978
5,0.5420069620013237,0.96075,0.983,0.983
6,0.4905138164758682,0.97225,0.989,0.989
7,0.4357951693236828,0.978,0.993,0.993
8,0.380900826305151,0.98,0.997,0.997
9,0.32588836923241615,0.98275,0.997,0.997
10,0.2746943049132824,0.985,0.997,0.997
11,0.22887296602129936,0.98625,0.998,0.998
12,0.1877658050507307,0.98675,0.998,0.998
13,0.15441070683300495,0.98775,0.998,0.998
14,0.12552992720156908,0.98775,0.998,0.998
15,0.10355758666992188,0.98925,0.998,0.998
16,0.08596618846058846,0.98975,0.998,0.998
17,0.07214285945519805,0.9915,0.998,0.998
18,0.06104945205152035,0.99225,0.999,0.999
19,0.052273920737206936,0.9925,0.999,0.999
20,0.04558531707152724,0.99275,0.999,0.999
